Unnamed: 0,v,vw,o,c,h,l,t,n,date,UnderlyingPrice,ClosePrice,OpenPrice
,298992,0.8389,1.37,0.8,1.76,0.27,1702616400000,27789,2023-12-15,469,469.36,469.48
,36461,1.813,1.36,1.57,2.97,1.27,1702875600000,5909,2023-12-18,470,472.01,470.96
,44393,1.7048,1.05,2.5,2.93,1.01,1702962000000,7227,2023-12-19,472,474.81,472.53
,125213,0.5625,1.44,0.01,2.88,0.01,1703048400000,8474,2023-12-20,473,467.97,473.92
,331930,0.7968,1.26,1.79,2.0,0.18,1703134800000,36717,2023-12-21,471,472.67,471.31
,208945,0.986,1.56,1.44,2.68,0.18,1703221200000,20172,2023-12-22,473,473.62,473.86
,118021,1.2715,0.89,1.7,2.58,0.86,1703566800000,17167,2023-12-26,474,475.59,474.06
,279842,0.9626,1.02,1.5,1.91,0.35,1703653200000,33425,2023-12-27,475,476.5,475.42
,113558,1.2533,1.42,0.82,1.71,0.37,1703739600000,13267,2023-12-28,476,476.68,476.85
,368064,0.4804,1.29,0.01,1.48,0.01,1703826000000,37375,2023-12-29,476,475.35,476.5
,402605,0.6485,1.2,0.65,1.79,0.02,1704171600000,45469,2024-01-02,472,472.6,472.16
,438409,0.6444,1.36,0.75,1.56,0.01,1704258000000,52443,2024-01-03,470,468.73,470.42
,134288,0.8793,1.18,1.34,3.0,0.01,1704344400000,14091,2024-01-04,468,467.27,468.3
,180755,0.9895,1.44,1.15,3.56,0.22,1704430800000,20259,2024-01-05,467,467.96,467.49
,47203,1.914,1.13,6.64,6.84,1.06,1704690000000,7296,2024-01-08,468,474.55,468.41
,45872,1.7629,1.42,2.81,3.9,1.13,1704776400000,6929,2024-01-09,471,473.84,471.86
,170354,1.2885,0.98,2.52,3.39,0.78,1704862800000,23060,2024-01-10,474,476.52,474.14
,350027,0.3289,1.43,0.01,1.77,0.01,1704949200000,34903,2024-01-11,477,476.31,477.58
,540563,0.5084,1.59,0.01,2.04,0.01,1705035600000,59963,2024-01-12,477,476.66,477.83
